session_start,session_close,session_type
2025-01-04 08:00:00+00:00,2025-01-05 08:00:00+00:00,weekend
2025-01-06 08:00:00+00:00,2025-01-07 08:00:00+00:00,weekday
2025-01-11 08:00:00+00:00,2025-01-12 08:00:00+00:00,weekend
2025-01-13 08:00:00+00:00,2025-01-14 08:00:00+00:00,weekday
2025-01-18 08:00:00+00:00,2025-01-19 08:00:00+00:00,weekend
2025-01-20 08:00:00+00:00,2025-01-21 08:00:00+00:00,weekday
2025-01-25 08:00:00+00:00,2025-01-26 08:00:00+00:00,weekend
2025-01-27 08:00:00+00:00,2025-01-28 08:00:00+00:00,weekday
2025-02-01 08:00:00+00:00,2025-02-02 08:00:00+00:00,weekend
2025-02-03 08:00:00+00:00,2025-02-04 08:00:00+00:00,weekday
2025-02-08 08:00:00+00:00,2025-02-09 08:00:00+00:00,weekend
2025-02-10 08:00:00+00:00,2025-02-11 08:00:00+00:00,weekday
2025-02-15 08:00:00+00:00,2025-02-16 08:00:00+00:00,weekend
2025-02-17 08:00:00+00:00,2025-02-18 08:00:00+00:00,weekday
2025-02-22 08:00:00+00:00,2025-02-23 08:00:00+00:00,weekend
2025-02-24 08:00:00+00:00,2025-02-25 08:00:00+00:00,weekday
2025-03-01 08:00:00+00:00,2025-03-02 08:00:00+00:00,weekend
2025-03-03 08:00:00+00:00,2025-03-04 08:00:00+00:00,weekday
2025-03-08 08:00:00+00:00,2025-03-09 08:00:00+00:00,weekend
2025-03-10 08:00:00+00:00,2025-03-11 08:00:00+00:00,weekday
2025-03-15 08:00:00+00:00,2025-03-16 08:00:00+00:00,weekend
2025-03-17 08:00:00+00:00,2025-03-18 08:00:00+00:00,weekday
2025-03-22 08:00:00+00:00,2025-03-23 08:00:00+00:00,weekend
2025-03-24 08:00:00+00:00,2025-03-25 08:00:00+00:00,weekday
2025-03-29 08:00:00+00:00,2025-03-30 08:00:00+00:00,weekend
2025-03-31 08:00:00+00:00,2025-04-01 08:00:00+00:00,weekday
2025-04-05 08:00:00+00:00,2025-04-06 08:00:00+00:00,weekend
2025-04-07 08:00:00+00:00,2025-04-08 08:00:00+00:00,weekday
2025-04-12 08:00:00+00:00,2025-04-13 08:00:00+00:00,weekend
2025-04-14 08:00:00+00:00,2025-04-15 08:00:00+00:00,weekday
2025-04-19 08:00:00+00:00,2025-04-20 08:00:00+00:00,weekend
2025-04-21 08:00:00+00:00,2025-04-22 08:00:00+00:00,weekday
2025-04-26 08:00:00+00:00,2025-04-27 08:00:00+00:00,weekend
2025-04-28 08:00:00+00:00,2025-04-29 08:00:00+00:00,weekday
2025-05-03 08:00:00+00:00,2025-05-04 08:00:00+00:00,weekend
2025-05-05 08:00:00+00:00,2025-05-06 08:00:00+00:00,weekday
2025-05-10 08:00:00+00:00,2025-05-11 08:00:00+00:00,weekend
2025-05-12 08:00:00+00:00,2025-05-13 08:00:00+00:00,weekday
2025-05-17 08:00:00+00:00,2025-05-18 08:00:00+00:00,weekend
2025-05-19 08:00:00+00:00,2025-05-20 08:00:00+00:00,weekday
2025-05-24 08:00:00+00:00,2025-05-25 08:00:00+00:00,weekend
2025-05-26 08:00:00+00:00,2025-05-27 08:00:00+00:00,weekday
2025-05-31 08:00:00+00:00,2025-06-01 08:00:00+00:00,weekend
2025-06-02 08:00:00+00:00,2025-06-03 08:00:00+00:00,weekday
2025-06-07 08:00:00+00:00,2025-06-08 08:00:00+00:00,weekend
2025-06-09 08:00:00+00:00,2025-06-10 08:00:00+00:00,weekday
2025-06-14 08:00:00+00:00,2025-06-15 08:00:00+00:00,weekend
2025-06-16 08:00:00+00:00,2025-06-17 08:00:00+00:00,weekday
2025-06-21 08:00:00+00:00,2025-06-22 08:00:00+00:00,weekend
2025-06-23 08:00:00+00:00,2025-06-24 08:00:00+00:00,weekday
2025-06-28 08:00:00+00:00,2025-06-29 08:00:00+00:00,weekend
2025-06-30 08:00:00+00:00,2025-07-01 08:00:00+00:00,weekday
2025-07-05 08:00:00+00:00,2025-07-06 08:00:00+00:00,weekend
2025-07-07 08:00:00+00:00,2025-07-08 08:00:00+00:00,weekday
2025-07-12 08:00:00+00:00,2025-07-13 08:00:00+00:00,weekend
2025-07-14 08:00:00+00:00,2025-07-15 08:00:00+00:00,weekday
2025-07-19 08:00:00+00:00,2025-07-20 08:00:00+00:00,weekend
2025-07-21 08:00:00+00:00,2025-07-22 08:00:00+00:00,weekday
2025-07-26 08:00:00+00:00,2025-07-27 08:00:00+00:00,weekend
2025-07-28 08:00:00+00:00,2025-07-29 08:00:00+00:00,weekday
2025-08-02 08:00:00+00:00,2025-08-03 08:00:00+00:00,weekend
2025-08-04 08:00:00+00:00,2025-08-05 08:00:00+00:00,weekday
2025-08-09 08:00:00+00:00,2025-08-10 08:00:00+00:00,weekend
2025-08-11 08:00:00+00:00,2025-08-12 08:00:00+00:00,weekday
2025-08-16 08:00:00+00:00,2025-08-17 08:00:00+00:00,weekend
2025-08-18 08:00:00+00:00,2025-08-19 08:00:00+00:00,weekday
2025-08-23 08:00:00+00:00,2025-08-24 08:00:00+00:00,weekend
2025-08-25 08:00:00+00:00,2025-08-26 08:00:00+00:00,weekday
2025-08-30 08:00:00+00:00,2025-08-31 08:00:00+00:00,weekend
2025-09-01 08:00:00+00:00,2025-09-02 08:00:00+00:00,weekday
2025-09-06 08:00:00+00:00,2025-09-07 08:00:00+00:00,weekend
2025-09-08 08:00:00+00:00,2025-09-09 08:00:00+00:00,weekday
2025-09-13 08:00:00+00:00,2025-09-14 08:00:00+00:00,weekend
2025-09-15 08:00:00+00:00,2025-09-16 08:00:00+00:00,weekday
2025-09-20 08:00:00+00:00,2025-09-21 08:00:00+00:00,weekend
2025-09-22 08:00:00+00:00,2025-09-23 08:00:00+00:00,weekday
2025-09-27 08:00:00+00:00,2025-09-28 08:00:00+00:00,weekend
2025-09-29 08:00:00+00:00,2025-09-30 08:00:00+00:00,weekday
2025-10-04 08:00:00+00:00,2025-10-05 08:00:00+00:00,weekend
2025-10-06 08:00:00+00:00,2025-10-07 08:00:00+00:00,weekday
2025-10-11 08:00:00+00:00,2025-10-12 08:00:00+00:00,weekend
2025-10-13 08:00:00+00:00,2025-10-14 08:00:00+00:00,weekday
2025-10-18 08:00:00+00:00,2025-10-19 08:00:00+00:00,weekend
2025-10-20 08:00:00+00:00,2025-10-21 08:00:00+00:00,weekday
2025-10-25 08:00:00+00:00,2025-10-26 08:00:00+00:00,weekend
2025-10-27 08:00:00+00:00,2025-10-28 08:00:00+00:00,weekday
2025-11-01 08:00:00+00:00,2025-11-02 08:00:00+00:00,weekend
2025-11-03 08:00:00+00:00,2025-11-04 08:00:00+00:00,weekday
2025-11-08 08:00:00+00:00,2025-11-09 08:00:00+00:00,weekend
2025-11-10 08:00:00+00:00,2025-11-11 08:00:00+00:00,weekday
2025-11-15 08:00:00+00:00,2025-11-16 08:00:00+00:00,weekend
2025-11-17 08:00:00+00:00,2025-11-18 08:00:00+00:00,weekday
2025-11-22 08:00:00+00:00,2025-11-23 08:00:00+00:00,weekend
2025-11-24 08:00:00+00:00,2025-11-25 08:00:00+00:00,weekday
2025-11-29 08:00:00+00:00,2025-11-30 08:00:00+00:00,weekend
2025-12-01 08:00:00+00:00,2025-12-02 08:00:00+00:00,weekday
2025-12-06 08:00:00+00:00,2025-12-07 08:00:00+00:00,weekend
2025-12-08 08:00:00+00:00,2025-12-09 08:00:00+00:00,weekday
2025-12-13 08:00:00+00:00,2025-12-14 08:00:00+00:00,weekend
2025-12-15 08:00:00+00:00,2025-12-16 08:00:00+00:00,weekday
2025-12-20 08:00:00+00:00,2025-12-21 08:00:00+00:00,weekend
2025-12-22 08:00:00+00:00,2025-12-23 08:00:00+00:00,weekday
2025-12-27 08:00:00+00:00,2025-12-28 08:00:00+00:00,weekend
2025-12-29 08:00:00+00:00,2025-12-30 08:00:00+00:00,weekday
